Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas1             Pavarde1            1         6         10        6         6         9         7         5         10        10        6         1         2         9         5         5         
Vardas2             Pavarde2            1         4         1         9         7         0         6         5         3         10        4         9         1         8         8         0         
Vardas3             Pavarde3            0         7         7         8         8         8         6         2         8         8         4         3         0         8         6         2         
Vardas4             Pavarde4            3         10        3         1         7         6         9         5         10        6         8         2         0         2         1         9         
Vardas5             Pavarde5            10        3         1         6         7         5         7         1         7         6         3         6         7         7         9         5         
Vardas6             Pavarde6            4         0         7         1         10        3         4         0         6         10        6         6         1         10        1         6         
Vardas7             Pavarde7            8         2         7         9         10        0         2         0         8         10        0         1         1         2         10        6         
Vardas8             Pavarde8            6         6         9         5         10        8         5         6         1         5         8         9         10        0         5         6         
Vardas9             Pavarde9            2         4         10        9         4         1         5         2         7         3         1         6         5         7         0         1         
Vardas10            Pavarde10           7         8         1         0         10        2         2         8         1         10        6         3         10        3         8         3         
Vardas11            Pavarde11           10        0         1         3         9         0         1         5         2         2         7         4         6         1         6         0         
Vardas12            Pavarde12           3         8         2         1         8         1         7         4         5         8         7         5         7         6         10        3         
Vardas13            Pavarde13           6         3         10        4         4         7         1         2         5         0         4         6         6         8         3         1         
Vardas14            Pavarde14           0         6         10        10        1         3         3         10        1         4         7         5         8         7         5         8         
Vardas15            Pavarde15           1         5         0         4         5         7         7         3         2         6         7         0         1         3         4         2         
Vardas16            Pavarde16           0         3         0         9         4         3         1         5         10        4         6         3         7         5         9         4         
Vardas17            Pavarde17           10        7         0         8         8         8         5         0         10        10        8         1         8         4         5         3         
Vardas18            Pavarde18           6         6         10        4         8         10        9         6         4         8         9         5         6         10        5         2         
Vardas19            Pavarde19           10        6         3         10        8         10        10        0         8         8         0         10        8         6         4         4         
Vardas20            Pavarde20           5         5         0         8         4         9         6         4         1         9         2         2         5         0         5         2         
Vardas21            Pavarde21           4         2         0         6         8         1         6         1         5         7         0         8         10        10        4         3         
Vardas22            Pavarde22           10        10        4         9         3         6         0         1         0         2         4         5         10        5         8         6         
Vardas23            Pavarde23           0         5         4         10        4         7         5         3         8         2         7         3         3         2         7         5         
Vardas24            Pavarde24           7         7         7         9         4         3         3         8         0         2         3         6         4         4         2         10        
Vardas25            Pavarde25           6         10        5         1         1         7         1         0         10        4         3         4         5         5         5         6         
Vardas26            Pavarde26           4         8         3         1         1         2         6         2         10        0         0         7         2         7         6         3         
Vardas27            Pavarde27           5         10        10        5         2         4         2         2         8         3         4         7         3         10        1         8         
Vardas28            Pavarde28           1         0         7         1         3         3         9         0         9         9         9         10        3         6         1         6         
Vardas29            Pavarde29           6         4         4         4         7         7         5         3         3         9         0         9         5         2         8         9         
Vardas30            Pavarde30           8         6         2         10        10        9         10        7         2         3         9         7         7         3         4         7         
Vardas31            Pavarde31           8         10        1         3         3         7         6         2         9         6         4         4         8         2         9         1         
Vardas32            Pavarde32           9         6         6         10        9         2         6         0         2         0         10        4         3         5         1         5         
Vardas33            Pavarde33           9         8         0         3         9         3         8         6         0         2         2         0         6         7         6         1         
Vardas34            Pavarde34           8         5         3         6         8         8         8         2         9         7         9         2         0         4         1         5         
Vardas35            Pavarde35           4         2         7         4         2         10        10        3         7         9         7         3         7         1         1         0         
Vardas36            Pavarde36           4         8         1         2         0         4         0         6         4         5         2         0         3         3         0         4         
Vardas37            Pavarde37           2         9         4         7         1         1         5         3         5         4         1         2         7         6         4         1         
Vardas38            Pavarde38           1         8         6         6         5         0         8         7         6         0         0         9         5         2         8         10        
Vardas39            Pavarde39           9         2         0         0         9         3         2         9         10        8         9         9         10        3         2         9         
Vardas40            Pavarde40           2         4         8         4         6         4         1         9         9         4         5         2         2         9         4         4         
Vardas41            Pavarde41           0         5         10        3         4         0         7         5         2         4         8         2         6         9         2         1         
Vardas42            Pavarde42           7         6         7         7         7         1         7         4         3         2         3         3         0         2         9         8         
Vardas43            Pavarde43           6         6         10        7         8         3         9         4         9         9         0         10        8         0         5         10        
Vardas44            Pavarde44           2         6         0         10        0         0         5         10        1         1         3         8         6         4         0         10        
Vardas45            Pavarde45           9         4         3         8         6         1         1         3         9         4         6         4         8         3         8         8         
Vardas46            Pavarde46           8         3         0         5         2         9         9         4         9         8         0         6         4         7         9         2         
Vardas47            Pavarde47           8         8         1         10        7         1         9         9         5         8         0         2         0         2         0         2         
Vardas48            Pavarde48           5         10        5         8         3         6         2         2         1         1         8         9         9         4         9         4         
Vardas49            Pavarde49           3         3         9         1         0         9         8         8         1         8         0         10        6         2         9         8         
Vardas50            Pavarde50           1         0         5         5         7         9         6         2         2         0         10        2         6         10        10        6         
Vardas51            Pavarde51           2         2         4         8         7         7         3         9         9         3         6         9         0         0         0         6         
Vardas52            Pavarde52           7         9         4         4         0         7         2         7         0         2         9         4         4         7         6         2         
Vardas53            Pavarde53           3         7         3         4         4         9         10        4         1         4         1         3         9         10        6         9         
Vardas54            Pavarde54           5         6         7         3         2         4         9         8         9         2         4         2         10        2         3         2         
Vardas55            Pavarde55           8         0         10        10        4         0         8         1         6         3         0         2         10        0         4         5         
Vardas56            Pavarde56           8         10        5         10        8         2         10        2         3         3         8         5         0         1         5         4         
Vardas57            Pavarde57           6         5         5         1         3         1         8         10        5         4         4         10        7         8         6         1         
Vardas58            Pavarde58           3         9         0         10        1         6         9         0         2         7         2         10        8         10        5         7         
Vardas59            Pavarde59           6         10        4         10        3         4         3         8         1         3         5         4         2         10        4         7         
Vardas60            Pavarde60           5         7         5         5         3         2         2         8         7         2         1         10        8         2         6         1         
Vardas61            Pavarde61           2         0         5         3         9         9         0         0         8         6         1         10        8         4         9         3         
Vardas62            Pavarde62           2         2         6         7         0         8         3         0         5         2         1         8         10        9         7         8         
Vardas63            Pavarde63           0         0         7         9         6         1         10        5         8         7         1         3         3         2         1         1         
Vardas64            Pavarde64           9         4         2         9         0         8         9         2         6         10        1         0         4         4         10        2         
Vardas65            Pavarde65           2         1         2         0         1         6         3         5         0         2         6         8         9         7         4         10        
Vardas66            Pavarde66           6         6         6         2         8         0         1         7         5         2         3         9         6         5         7         9         
Vardas67            Pavarde67           10        10        10        4         10        9         2         2         10        0         2         3         8         2         4         0         
Vardas68            Pavarde68           9         9         2         6         1         2         9         6         2         10        9         9         4         6         0         9         
Vardas69            Pavarde69           10        9         0         4         3         8         2         4         10        10        3         2         0         10        2         9         
Vardas70            Pavarde70           4         5         9         3         6         1         8         7         8         9         0         2         3         7         10        5         
Vardas71            Pavarde71           3         10        8         4         5         6         8         4         4         4         3         1         3         3         9         9         
Vardas72            Pavarde72           2         1         0         6         1         5         2         4         10        6         4         0         4         5         5         2         
Vardas73            Pavarde73           5         4         5         7         8         9         4         8         0         3         8         10        10        8         3         4         
Vardas74            Pavarde74           10        4         0         10        6         4         9         2         9         9         1         5         7         9         5         6         
Vardas75            Pavarde75           10        2         1         9         2         4         10        8         5         4         3         7         4         1         7         0         
Vardas76            Pavarde76           8         6         6         8         5         8         2         0         5         10        3         4         8         6         10        0         
Vardas77            Pavarde77           2         10        10        4         7         10        8         1         7         9         0         1         5         8         9         9         
Vardas78            Pavarde78           0         10        7         3         3         0         6         2         5         8         0         3         7         2         5         1         
Vardas79            Pavarde79           3         7         3         8         0         8         6         6         4         6         8         3         9         5         4         5         
Vardas80            Pavarde80           8         5         0         3         6         9         3         0         4         5         8         10        3         0         4         10        
Vardas81            Pavarde81           6         0         10        8         2         5         7         1         1         1         5         0         0         10        5         7         
Vardas82            Pavarde82           5         10        9         4         6         3         5         0         8         8         0         6         3         1         8         4         
Vardas83            Pavarde83           9         10        6         4         4         1         2         2         1         3         4         10        5         9         6         10        
Vardas84            Pavarde84           5         6         2         6         2         9         1         1         4         2         9         2         3         7         9         7         
Vardas85            Pavarde85           4         1         5         8         7         9         6         7         0         8         0         8         2         2         2         9         
Vardas86            Pavarde86           5         5         7         4         10        9         10        10        5         2         9         8         8         3         6         9         
Vardas87            Pavarde87           0         6         4         7         7         5         5         9         10        3         4         0         8         4         3         6         
Vardas88            Pavarde88           8         6         5         2         3         3         1         2         1         6         1         8         5         1         5         9         
Vardas89            Pavarde89           0         9         5         9         3         9         9         9         5         0         6         0         4         7         6         8         
Vardas90            Pavarde90           0         1         3         5         6         6         2         10        9         2         7         10        1         2         7         9         
Vardas91            Pavarde91           7         4         1         3         10        6         9         1         9         5         10        6         9         10        8         8         
Vardas92            Pavarde92           8         4         8         10        5         10        9         5         1         3         3         4         9         3         4         0         
Vardas93            Pavarde93           6         6         10        3         5         1         5         3         5         5         0         3         6         1         0         5         
Vardas94            Pavarde94           10        8         8         6         3         6         2         3         4         4         7         3         7         7         3         9         
Vardas95            Pavarde95           0         3         4         10        8         4         1         6         3         5         4         6         2         5         9         10        
Vardas96            Pavarde96           4         9         0         0         0         8         4         9         5         3         6         9         6         4         6         8         
Vardas97            Pavarde97           10        8         9         10        8         4         8         2         3         6         6         5         7         5         10        0         
Vardas98            Pavarde98           3         6         7         1         8         3         1         3         1         8         2         4         1         10        0         10        
Vardas99            Pavarde99           1         10        4         1         4         10        0         9         1         4         1         3         10        6         10        7         
Vardas100           Pavarde100          4         7         7         8         6         9         6         8         10        7         6         1         10        4         4         4         
Vardas101           Pavarde101          2         6         10        1         7         9         7         7         4         9         6         7         6         4         6         1         
Vardas102           Pavarde102          8         0         4         3         1         6         6         8         8         1         0         8         0         5         3         3         
Vardas103           Pavarde103          9         3         3         6         9         10        1         4         8         2         2         3         5         6         2         2         
Vardas104           Pavarde104          2         1         6         5         1         9         2         7         3         7         9         5         3         5         10        2         
Vardas105           Pavarde105          0         4         10        6         9         7         6         0         1         10        0         2         6         7         10        9         
Vardas106           Pavarde106          10        4         7         9         0         0         10        10        7         2         4         0         6         4         7         6         
Vardas107           Pavarde107          5         1         2         0         6         8         1         5         5         5         7         5         0         3         10        1         
Vardas108           Pavarde108          6         10        9         7         2         8         5         7         2         2         6         4         9         8         6         0         
Vardas109           Pavarde109          9         10        2         9         3         0         8         7         9         5         9         2         7         6         1         0         
Vardas110           Pavarde110          4         5         4         5         2         7         0         8         4         2         1         9         0         10        6         1         
Vardas111           Pavarde111          4         8         0         3         2         7         7         1         3         4         3         7         6         9         3         10        
Vardas112           Pavarde112          1         2         0         2         7         1         4         8         5         9         4         3         7         5         5         10        
Vardas113           Pavarde113          4         9         5         9         3         10        1         1         3         1         1         0         8         4         0         1         
Vardas114           Pavarde114          9         3         8         9         2         10        2         6         7         3         2         7         1         8         9         3         
Vardas115           Pavarde115          9         8         3         5         1         3         8         3         10        2         9         9         2         4         4         0         
Vardas116           Pavarde116          7         0         8         8         1         7         10        10        9         9         0         1         2         8         3         3         
Vardas117           Pavarde117          2         10        6         4         5         2         5         8         1         8         0         0         0         5         10        4         
Vardas118           Pavarde118          3         9         2         5         5         3         1         5         8         4         2         6         9         3         8         5         
Vardas119           Pavarde119          6         9         3         1         2         7         0         2         3         8         5         0         5         2         4         0         
Vardas120           Pavarde120          6         1         6         9         5         4         10        2         1         6         10        10        7         0         9         7         
Vardas121           Pavarde121          5         4         10        1         2         6         4         9         9         1         7         8         2         2         9         4         
Vardas122           Pavarde122          2         9         3         2         10        10        6         10        4         8         5         2         5         9         5         7         
Vardas123           Pavarde123          7         5         3         8         9         1         10        3         10        3         3         3         10        4         10        2         
Vardas124           Pavarde124          4         3         2         6         10        5         3         8         9         5         6         7         5         0         2         2         
Vardas125           Pavarde125          9         0         10        9         1         1         4         9         8         9         5         2         2         0         3         1         
Vardas126           Pavarde126          3         0         6         10        4         7         0         6         0         2         7         6         7         5         10        8         
Vardas127           Pavarde127          8         10        5         8         6         4         8         9         4         10        1         8         6         9         0         2         
Vardas128           Pavarde128          10        6         8         7         0         8         1         4         9         5         3         6         1         9         9         4         
Vardas129           Pavarde129          9         8         8         1         5         10        5         0         7         9         7         7         5         3         2         4         
Vardas130           Pavarde130          1         3         1         7         1         0         5         5         10        1         7         3         5         3         1         10        
Vardas131           Pavarde131          3         3         8         7         8         5         5         4         5         4         3         7         9         6         10        3         
Vardas132           Pavarde132          7         9         10        9         9         4         0         10        1         2         8         6         5         3         2         1         
Vardas133           Pavarde133          5         3         3         3         5         1         4         7         4         10        0         7         9         3         10        7         
Vardas134           Pavarde134          7         3         6         1         2         7         2         2         4         5         8         1         3         0         9         1         
Vardas135           Pavarde135          10        8         4         10        5         9         7         2         9         2         9         4         2         4         10        7         
Vardas136           Pavarde136          5         7         7         5         10        3         8         3         7         5         1         6         4         2         8         3         
Vardas137           Pavarde137          2         9         7         9         9         4         3         3         3         10        9         4         2         3         6         2         
Vardas138           Pavarde138          7         2         1         4         2         3         4         4         7         8         5         3         1         6         0         8         
Vardas139           Pavarde139          9         8         7         7         7         3         2         2         6         0         4         8         9         2         4         9         
Vardas140           Pavarde140          6         3         7         5         10        9         5         10        8         0         0         5         5         1         4         2         
Vardas141           Pavarde141          5         5         9         3         9         4         6         2         9         9         8         4         5         7         3         6         
Vardas142           Pavarde142          8         10        7         2         9         8         0         8         1         1         6         0         7         5         3         5         
Vardas143           Pavarde143          2         0         5         8         9         8         7         7         4         1         0         0         6         0         1         3         
Vardas144           Pavarde144          1         8         6         1         3         4         8         4         5         5         4         7         1         3         3         0         
Vardas145           Pavarde145          7         4         6         9         4         4         0         4         3         5         2         9         5         4         4         5         
Vardas146           Pavarde146          6         3         3         6         9         5         4         5         6         5         4         5         9         7         0         2         
Vardas147           Pavarde147          3         3         2         2         4         10        1         6         8         2         3         4         9         9         9         9         
Vardas148           Pavarde148          10        5         7         7         2         2         4         9         1         8         3         2         5         9         8         5         
Vardas149           Pavarde149          6         8         6         9         0         5         5         6         0         0         1         3         6         4         2         4         
Vardas150           Pavarde150          5         1         0         9         9         2         3         5         1         6         10        7         3         3         1         4         
Vardas151           Pavarde151          5         2         10        3         10        5         3         0         9         6         1         8         1         8         7         0         
Vardas152           Pavarde152          2         0         6         2         4         4         1         1         10        7         10        6         7         2         8         1         
Vardas153           Pavarde153          8         7         1         9         2         9         4         9         5         1         9         4         5         7         6         4         
Vardas154           Pavarde154          2         9         8         7         7         4         1         10        4         3         8         10        2         2         7         8         
Vardas155           Pavarde155          10        8         5         3         4         10        4         6         6         9         6         7         3         0         4         0         
Vardas156           Pavarde156          9         3         5         5         0         6         1         8         5         1         3         4         9         2         3         5         
Vardas157           Pavarde157          4         5         4         5         0         2         8         8         9         0         2         3         6         6         1         3         
Vardas158           Pavarde158          4         0         7         5         1         2         8         7         9         1         9         1         3         2         8         0         
Vardas159           Pavarde159          1         1         4         3         4         2         7         6         5         10        8         8         8         5         5         6         
Vardas160           Pavarde160          8         3         3         9         1         7         10        2         0         3         6         0         0         8         3         0         
Vardas161           Pavarde161          5         9         2         3         6         6         7         9         5         9         7         8         10        2         5         3         
Vardas162           Pavarde162          7         1         3         4         10        1         2         9         5         4         5         1         8         0         2         10        
Vardas163           Pavarde163          9         10        0         3         0         1         1         10        3         1         1         7         7         6         1         7         
Vardas164           Pavarde164          4         3         9         8         10        0         2         8         10        1         6         1         2         7         3         2         
Vardas165           Pavarde165          2         0         9         6         2         10        8         10        2         1         4         5         5         1         5         2         
Vardas166           Pavarde166          7         5         8         6         0         10        2         10        5         9         8         10        6         5         1         6         
Vardas167           Pavarde167          3         10        10        4         7         6         5         0         3         1         0         10        5         0         7         7         
Vardas168           Pavarde168          5         2         1         10        6         9         1         9         3         10        0         4         1         5         2         3         
